airline,flight_number,price_per_adult,total_price,departure_time,arrival_time,duration,departure_airport,arrival_airport,type
VietJet,VJ 312,1793200,4931300.0,2025-11-29 20:15,2025-11-29 21:40,1 giờ 25 phút,N/A,N/A,Round trip
VietJet,VJ 314,1793200,4931300.0,2025-11-29 21:05,2025-11-29 22:30,1 giờ 25 phút,N/A,N/A,Round trip
Vietnam Airlines,VN 6160,2249000,6184750.0,2025-11-29 17:05,2025-11-29 18:30,1 giờ 25 phút,N/A,N/A,Round trip
Vietnam Airlines,VN 1376,2454000,6748500.0,2025-11-29 20:25,2025-11-29 21:45,1 giờ 20 phút,N/A,N/A,Round trip
