maDiaDiem,tenDiaDiem,moTa,diaChi,maTinhThanh,loaiDiaDiem,viDo,kinhDo,giaVe,gioMoCua,gioDongCua,dienThoai,website,danhGiaTrungBinh,soLuotDanhGia,soLuotXem,maNguoiTao,ngayTao,lanCapNhatCuoi,trangThai,dacDiem,tienNghi
1,Di tích lịch sử - văn hóa căn cứ địa cách mạng Hải Chi (Đình Làng Dạ),,"xã Thanh Lâm, Huyện Ba Chẽ, Quảng Ninh",45,dia_danh,0.0,0.0,0.0,,,,,0.0,0,0,,2026-05-27 16:59:29,2026-05-27 16:59:29,active,"{""category"": ""dest"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/dest/?item=1171"", ""email"": """", ""item_id"": ""1171"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
2,Chợ Trung tâm Ba Chẽ,,"Thị trấn Ba Chẽ, Ba Chẽ, Huyện Ba Chẽ, Quảng Ninh",45,dia_danh,0.0,0.0,0.0,,,,,0.0,0,0,,2026-05-27 16:59:29,2026-05-27 16:59:29,active,"{""category"": ""dest"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/dest/?item=1170"", ""email"": """", ""item_id"": ""1170"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
3,Di tích lịch sử Miếu Ông – Miếu Bà,,"xã Nam Sơn, Huyện Ba Chẽ, Quảng Ninh",45,dia_danh,0.0,0.0,0.0,,,,,0.0,0,0,,2026-05-27 16:59:29,2026-05-27 16:59:29,active,"{""category"": ""dest"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/dest/?item=1169"", ""email"": """", ""item_id"": ""1169"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
4,Phố đi bộ Tiên Yên,,"Thị trấn Tiên Yên, Tiên Yên, Huyện Tiên Yên, Quảng Ninh",45,dia_danh,0.0,0.0,0.0,,,,,0.0,0,0,,2026-05-27 16:59:29,2026-05-27 16:59:29,active,"{""category"": ""dest"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/dest/?item=1168"", ""email"": """", ""item_id"": ""1168"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
5,"Trung tâm Văn hóa, Thể thao các dân tộc vùng Đông Bắc",,"xã Yên Than, huyện Tiên Yên, Huyện Tiên Yên, Quảng Ninh",45,dia_danh,0.0,0.0,0.0,,,,,0.0,0,0,,2026-05-27 16:59:29,2026-05-27 16:59:29,active,"{""category"": ""dest"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/dest/?item=1167"", ""email"": """", ""item_id"": ""1167"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
