maDiaDiem,tenDiaDiem,moTa,diaChi,maTinhThanh,loaiDiaDiem,viDo,kinhDo,giaVe,gioMoCua,gioDongCua,dienThoai,website,danhGiaTrungBinh,soLuotDanhGia,soLuotXem,maNguoiTao,ngayTao,lanCapNhatCuoi,trangThai,dacDiem,tienNghi
14,Nhà nghỉ Kim Phượng,,"ấp Bình Tiền 1 - xã Đức Hòa Hạ - huyện Đức Hòa, Huyện Đức Hòa, Tây Ninh",49,khach_san,0.0,0.0,0.0,,,,,0.0,0,0,,2026-05-27 16:38:12,2026-05-27 16:38:12,active,"{""category"": ""cslt"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/cslt/?item=13312"", ""email"": """", ""item_id"": ""13312"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
15,Nhà Nghỉ Hiếu Yên,,"Tổ 95 khu đồn điền phường hà khẩu TP Hạ Long tỉnh Quảng Ninh, Thành phố Hạ Long, Quảng Ninh",45,khach_san,0.0,0.0,0.0,,,,,0.0,0,0,,2026-05-27 16:38:12,2026-05-27 16:38:12,active,"{""category"": ""cslt"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/cslt/?item=14080"", ""email"": """", ""item_id"": ""14080"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
16,Khách sạn Hoàng Thư,,"31D3 khu11, p chánh nghĩa ,tp thủ dầu một tỉnh bình dương, Thành phố Thủ Dầu Một, Bình Dương",8,khach_san,0.0,0.0,0.0,,,,,0.0,0,0,,2026-05-27 16:38:12,2026-05-27 16:38:12,active,"{""category"": ""cslt"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/cslt/?item=14336"", ""email"": """", ""item_id"": ""14336"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
17,Côn Đảo House,,"28 Võ Thị Sáu, Khu 7, Côn Đảo, Huyện Côn Đảo, Bà Rịa - Vũng Tàu",62,khach_san,0.0,0.0,0.0,,,,,0.0,0,0,,2026-05-27 16:38:12,2026-05-27 16:38:12,active,"{""category"": ""cslt"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/cslt/?item=14848"", ""email"": """", ""item_id"": ""14848"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
18,Homestay Long Chiều,,"Thôn Tân Phong, Huyện Hoàng Su Phì, Hà Giang",19,khach_san,0.0,0.0,0.0,,,,,0.0,0,0,,2026-05-27 16:38:12,2026-05-27 16:38:12,active,"{""category"": ""cslt"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/cslt/?item=15360"", ""email"": """", ""item_id"": ""15360"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
19,Nhà nghỉ minh quảng,,"Tổ 5 phường hợp minh, Thành phố Yên Bái, Lào Cai",34,khach_san,0.0,0.0,0.0,,,,,0.0,0,0,,2026-05-27 16:38:12,2026-05-27 16:38:12,active,"{""category"": ""cslt"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/cslt/?item=15616"", ""email"": """", ""item_id"": ""15616"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
20,Lake View Homestay,,"46B Đống Đa, Diên Hồng, Thành phố Pleiku",18,khach_san,0.0,0.0,0.0,,,,,0.0,0,0,,2026-05-27 16:38:12,2026-05-27 16:38:12,active,"{""category"": ""cslt"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/cslt/?item=15872"", ""email"": """", ""item_id"": ""15872"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
21,Sake villa,,"Tổ dân phố 2, thị trấn Tam Đảo, Huyện Tam Đảo, Vĩnh Phúc",57,khach_san,0.0,0.0,0.0,,,,,0.0,0,0,,2026-05-27 16:38:12,2026-05-27 16:38:12,active,"{""category"": ""cslt"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/cslt/?item=8705"", ""email"": """", ""item_id"": ""8705"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
22,khách sạn thuận lợi,,"198 trần phú, phường long châu, thị xã, tân châu, an giang, Thị xã Tân Châu",1,khach_san,0.0,0.0,0.0,,,,,0.0,0,0,,2026-05-27 16:38:12,2026-05-27 16:38:12,active,"{""category"": ""cslt"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/cslt/?item=8961"", ""email"": """", ""item_id"": ""8961"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
23,Nhà Nghỉ Kinh Bắc,,"KĐTM-Ấp Đồn-Yên Trung- Yên Phong- Bắc Ninh, Yên Trung, Huyện Yên Phong",5,khach_san,0.0,0.0,0.0,,,,,0.0,0,0,,2026-05-27 16:38:12,2026-05-27 16:38:12,active,"{""category"": ""cslt"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/cslt/?item=9217"", ""email"": """", ""item_id"": ""9217"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
